NAME,CALCULUS,"MODAL LOGIC",DESCRIPTION,IMPLEMENTATION,LOGICS,"FIRST-ORDER LOGIC",RESOLUTION,FIRST-ORDER,"WEB INTERFACE",INTERFACE,"DESCRIPTION LOGICS",FORMULAE,ALGORITHM,"MODAL LOGICS",SEMANTIC,EQUALITY,RANGE,FRAGMENT,PROPOSITIONAL,TABLEAU,WEB,PROCEDURES,"TEMPORAL LOGICS","DECISION PROCEDURES",REASONER,SEQUENT,STYLE,TRANSLATOR,RELATIONAL,TABLEAUX-BASED,"MODAL FORMULAE",C++,CHECKER,SPECIFICATIONS,LINEAR-TIME,"TEMPORAL RESOLUTION CALCULUS","LINEAR-TIME LOGIC","TABLEAU CALCULUS","TABLEAU ALGORITHM"
*SAT,,,1,,1,,,,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,
Aximo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLIKSEM,,1,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
DLP,,,1,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,
FaCT++,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,
Gost,,,,1,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,1
"Herod and Pilate",,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,
J-prover,,1,,,1,,,,1,1,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,
KtSeqC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoTREC,,1,,,,,,,1,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
"Logics Workbench (LWB)",,,,,1,,,,1,1,,,,1,,,1,,1,,1,,1,,,1,,,,,,,,,,,,,
MLTP,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
MSPASS,1,,,,,1,,1,1,1,,1,,,,1,,,,,1,,,,,,,1,1,,1,,,,,,,,
MetTeL,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,
ModLeanTAP,1,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,,1,
Molle,,1,,,,,,,,,,1,1,,1,,,,1,,,,,,,,,,,,1,,,,,,,,
RACER,,,1,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,
SPASS,,,1,,1,1,1,1,,,1,,,1,,1,,,,,,,,,,,1,,1,,,,,,,,,,
STeP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Saga,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,1
Saturate,,1,,,,1,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,
TRP,1,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,1,,
TRP++,1,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,1,1,,
TeMP,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,
pdl-tableau,1,,,1,,,,,1,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,
ptl,,,,,,,,,1,1,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,
pttf,,,,,,,,,1,1,,1,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,
